raf_numero;aue_raisonsociale;aue_adresse;aue_codepostal;aue_commune;dpt_id;aue_siteinternet;aue_permis1euro_flag;aue_labelqualite_flag;aue_ecoleasso_flag;aue_aac_flag;aue_cs_flag;A_flag;A1_flag;A2_flag;B_flag;BE_flag;C_flag;C1_flag;CE_flag;C1E_flag;D_flag;D1_flag;DE_flag;D1E_flag;A_nombre_1pra;A_taux_1pra;A_taux_xpra;B_nombre_1pra;B_taux_1pra;B_taux_1pra_aac;B_taux_1pra_cs;B_taux_xpra;CD_nombre_1pra;CD_taux_1pra;CD_taux_xpra;aue_enligne_flag;optionnel_nombre_examen_total_tout_passage_AC;optionnel_nombre_examen_total_tout_passage_AP;optionnel_nombre_examen_total_tout_passage_BC;optionnel_nombre_examen_total_tout_passage_CEC;optionnel_nombre_examen_total_tout_passage_CEP;optionnel_taux_reussite_tout_passage_AC;optionnel_taux_reussite_tout_passage_AP;optionnel_taux_reussite_tout_passage_CEC;optionnel_taux_reussite_tout_passage_CEP;optionnel_nombre_examen_total_1er_passage_AC;optionnel_nombre_examen_total_1er_passage_AP;optionnel_nombre_examen_total_1er_passage_CEC;optionnel_nombre_examen_total_1er_passage_CEP;optionnel_taux_reussite_1er_passage_AC;optionnel_taux_reussite_1er_passage_AP;optionnel_taux_reussite_1er_passage_CEC;optionnel_taux_reussite_1er_passage_CEP;optionnel_nombre_1er_passage_acc_total;optionnel_nombre_1er_passage_superv_total;A_acc_sourd_mal;A_acc_handi;A1_acc_sourd_mal;A1_acc_handi;A2_acc_sourd_mal;A2_acc_handi;B_acc_sourd_mal;B_acc_handi;BE_acc_sourd_mal;BE_acc_handi;C_acc_sourd_mal;C_acc_handi;C1_acc_sourd_mal;C1_acc_handi;CE_acc_sourd_mal;CE_acc_handi;C1E_acc_sourd_mal;C1E_acc_handi;D_acc_sourd_mal;D_acc_handi;D1_acc_sourd_mal;D1_acc_handi;DE_acc_sourd_mal;DE_acc_handi;D1E_acc_sourd_mal;D1E_acc_handi
E1809400300;1 2 3  PERMIS;45 RUE ALEXANDRE FOURNY;94500;CHAMPIGNY-SUR-MARNE;94;;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;113;0.4778761061946903;NC;0.5;0,51;NC;NC;NC;FALSE;NC;NC;210;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;0.5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2401300220;1.2.3 VIVE LE PERMIS;367 CHEMIN DE LA MADRAGUE VILLE;13015;MARSEILLE;13;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;35;0.5428571428571428;NC;NC;0,55;NC;NC;NC;FALSE;NC;NC;80;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E0308901210;1000 BORNES;37 avenue jean jaures;89400;MIGENNES;89;;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;131;0.549618320610687;0.6538461538461539;0.5833333333333334;0,59;NC;NC;NC;FALSE;NC;NC;230;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;0.6538461538461539;0.5833333333333334;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2103800010;AFTRAL SQF;70 BOUCLE DE LA RAMEE;38070;SAINT-QUENTIN-FALLAVIER;38;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2308900020;12 POINTS;2 rue Aristide Briand;89220;BLENEAU;89;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;28;0.6071428571428571;0.6666666666666666;NC;0,61;NC;NC;NC;FALSE;NC;NC;46;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;0.6666666666666666;NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2409300020;17 DRIVE;123 RUE DU DOCTEUR BAUER;93400;SAINT-OUEN-SUR-SEINE;93;;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;39;0.6410256410256411;NC;NC;0,58;NC;NC;NC;FALSE;NC;NC;84;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2604900010;2 BL CONDUITES ANGERS;58 RUE BAUDRIERE;49100;ANGERS;49;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;131;0.7022900763358778;0.8518518518518519;0.5;0,74;NC;NC;NC;FALSE;NC;NC;191;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;0.8518518518518519;0.5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2409400210;2 BM STAR;29 RUE ETIENNE DOLET;94140;ALFORTVILLE;94;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;58;0.3620689655172414;NC;NC;0,41;NC;NC;NC;FALSE;NC;NC;108;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E2307400060;LEGON FORMATION;954 route du ChEtelet;74800;CORNIER;74;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
E0909D09170;2 LA POINTE;90 BIS RUE MAHATMA GANDHI;97419;LA POSSESSION;974;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;NC;NC;NC;218;0.41284403669724773;0.7058823529411765;0.5;0,47;NC;NC;NC;FALSE;NC;NC;447;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;NC;0.7058823529411765;0.5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
